strength_N,level,BM,type
661.948875,"Elite",85.6,1
539.36575,"Elite",80.6,1
612.915625,"Elite",79.8,1
608.0123,"Elite",73.8,1
627.6256,"Elite",73.4,1
622.722275,"Elite",88.4,1
603.108975,"Elite",70.4,1
421.68595,"Elite",62.8,1
387.362675,"Elite",57.4,1
465.815875,"Elite",65.6,1
421.68595,"Recreational",64.6,2
578.59235,"Recreational",79.6,2
534.462425,"Recreational",80.6,2
529.5591,"Recreational",71.8,2
558.97905,"Recreational",83,2
593.302325,"Recreational",88.8,2
446.202575,"Recreational",66.6,2
509.9458,"Recreational",75,2
353.0394,"Recreational",56.4,2
377.556025,"Recreational",62.8,2
514.849125,"Control",72.4,3
519.75245,"Control",75.6,3
436.395925,"Control",58.8,3
465.815875,"Control",71.2,3
470.7192,"Control",76.6,3
367.749375,"Control",64.8,3
446.202575,"Control",68.8,3
524.655775,"Control",72.4,3
588.399,"Control",78.6,3
421.68595,"Control",69.6,3
