diameter,velocity
2.16,8
2.24,14
2.67,16
2.92,10.5
3,11
3.25,14
3.58,10.5
3.67,12.5
3.33,16
3.49,18
3.58,18
3.54,17
4,21
4,24
4.16,24
4.33,22
4.33,20
4.5,22.5
4.5,25
4.58,22
4.67,25
4.83,27.5
4.84,32
5.17,29
5,27.5
6,37.5
6.17,29
6.17,31
6.37,30
6.29,36.5
6.75,39
7,42.5
6.75,44.5
7.67,42
7.92,46.5
8.21,44.5
8.83,57
9,53
9.87,57
9.87,56
10.42,66
11.08,68
10.67,52
11.67,58.5
12.42,59
13.17,70
12.58,76.5
12.12,82
13,84.5
13.17,84.5
13.34,84.5
14,83
14,78
14.19,76
14.5,77
14.21,74.5
14.17,71.5
14.87,74
15.37,82
15.83,96.5
16.42,96
17.42,91.5
17.42,116
17.87,117.5
19.67,118
19.67,117
20,118
